"Geology" "Gem_typ" "LUses" "order" "elev" "Cond_Gl" "Dischrg" "Mn_Ar_T" "AGR" "FR" "UR"
"CHE-304038" "Shales" "Straight" "Forest_Conif" 4 789 4 1e-05 87.47895 0.00630914826498423 0.993690851735016 0
"CHE-51306" "Calcareous" "Straight" "Forest_Conif" 4 1865 4.691795 0.00031 110.58331 0 1 0
"CHE-324049" "Siliceous" "Straight" "Agriculture" 3 677 1.060415 0 51.57998 0.103125 0.896875 0
"CHE-376350" "Sediments" "Sinuous" "Forest_NoConif" 5 579 2.31959 0.00286 30.45375 0.128526645768025 0.871473354231975 0
"CHE-290471" "Sediments" "Sinuous" "Forest_NoConif" 4 628 2 0 50.11157 0.165079365079365 0.834920634920635 0
"CHE-320080" "Sediments" "Straight" "Agriculture" 2 507 2 0.00021 59.37904 1 0 0
"CHE-101416" "Shales" "Straight" "Shrubs" 4 1146 1 0 93.89643 0 1 0
"CHE-307156" "Sandstones" "Straight" "Forest_Conif" 4 763 1 0 87.47895 0.0946372239747634 0.905362776025237 0
"CHE-322293" "Shales" "Straight" "Agriculture" 2 676 4 1e-05 61.90072 0.58307210031348 0.41692789968652 0
"CHE-103657" "Shales" "Straight" "Pasture" 3 1224 1.480565 0.00025 103.78022 0.0977917981072555 0.902208201892745 0
"CHE-100450" "Shales" "Sinuous" "Forest_NoConif" 3 1435 1.12766 0.00036 97.49674 0.0560747663551402 0.94392523364486 0
"CHE-363462" "Sediments" "Meandering" "Forest_NoConif" 3 463 1.359235 0.0016 48.416 0.908805031446541 0 0.0911949685534591
"CHE-363457" "Sediments" "Straight" "Urban" 3 464 2 0.00161 48.416 0.257861635220126 0 0.742138364779874
"CHE-272553" "Shales" "Sinuous" "Forest_NoConif" 6 363 1.47778 0.01559 61.91883 0.692789968652038 0.307210031347962 0
"CHE-357709" "Sediments" "Sinuous" "Forest_Plantation" 3 474 1.831035 0.00138 48.11922 0.924290220820189 0.0757097791798107 0
"CHE-306746" "Sandstones" "Straight" "Shrubs" 3 844 1.58732 0.00071 87.47895 0 1 0
"CHE-323725" "Calcareous" "Straight" "Forest_NoConif" 2 705 3.167655 0.00029 48.11462 0 1 0
"CHE-358578" "Sediments" "Straight" "Agriculture" 3 583 2.068965 3e-05 30.58152 0.996875 0.003125 0
"CHE-385231" "Shales" "Sinuous" "Forest_NoConif" 3 795 4 0.00054 43.1242 0.133956386292835 0.866043613707165 0
"CHE-323882" "Sediments" "Straight" "Agriculture" 3 606 1.68235 0.00102 62.17612 0.440625 0.559375 0
"CHE-322236" "Calcareous" "Sinuous" "Forest_NoConif" 4 526 3 0 61.6118 0 1 0
"CHE-272511" "Sediments" "Straight" "HumidAreas" 6 365 1.76923 0.01561 61.86259 0.64576802507837 0.197492163009404 0.156739811912226
"CHE-59276" "Sediments" "Straight" "HumidAreas" 5 1023 2 0.0024 117.08066 0.0625 0.85 0.0875
"CHE-321417" "Sediments" "Straight" "Forest_Plantation" 4 436 2.6 0 48.75872 0.475 0.525 0
"CHE-187540" "Sediments" "Sinuous" "HumidAreas" 5 894 2 0.00438 112.19153 0.103125 0.884375 0.0125
"CHE-322431" "Calcareous" "Sinuous" "Forest_NoConif" 4 592 3 0.00248 61.90072 0.0375 0.9625 0
"CHE-320343" "Sediments" "Sinuous" "Forest_NoConif" 5 434 2 0.00497 48.75872 0.170347003154574 0.425867507886435 0.403785488958991
"CHE-82052" "Sediments" "Straight" "Urban" 3 1568 1.615975 0.00019 104.85226 0.0660377358490566 0.933962264150943 0
"CHE-303884" "Sandstones" "Straight" "Forest_Conif" 2 934 1.291665 0 62.55567 0 1 0
"CHE-365140" "Sediments" "Straight" "Forest_NoConif" 3 501 2.041475 0.00046 48.67361 0.470219435736677 0.529780564263323 0
"CHE-272374" "Sediments" "Straight" "Agriculture" 2 410 1.97414 0.00014 47.96576 0.827586206896552 0.172413793103448 0
"CHE-289901" "Sandstones" "Straight" "Forest_NoConif" 4 493 1 1e-05 75.60711 0.126182965299685 0.873817034700315 0
"CHE-322667" "Shales" "Straight" "Agriculture" 4 547 1 0 61.90072 0.630094043887147 0.322884012539185 0.0470219435736677
"CHE-272207" "Sediments" "Sinuous" "Pasture" 6 335 2 0.01593 61.18877 0.634069400630915 0.280757097791798 0.0851735015772871
"CHE-322918" "Sediments" "Straight" "Forest_NoConif" 3 579 2 0.00068 61.90072 0.955974842767296 0.0440251572327044 0
"CHE-311405" "Sediments" "Sinuous" "Forest_Plantation" 4 998 1.537135 0.00215 108.93787 0.286604361370716 0.679127725856698 0.0342679127725857
"CHE-299602" "Sediments" "Sinuous" "Agriculture" 4 522 2.59323 0.00493 68.63354 0.227129337539432 0.772870662460568 0
"CHE-101157" "Shales" "Straight" "Pasture" 4 967 1.45495 0.00104 98.33454 0.248427672955975 0.751572327044025 0
"CHE-303716" "Sediments" "Straight" "Agriculture" 4 624 2.375 1e-05 59.40157 0.229559748427673 0.770440251572327 0
"CHE-320275" "Sediments" "Sinuous" "HumidAreas" 5 432 2.071855 0.00501 48.75872 0.471698113207547 0.449685534591195 0.0786163522012579
"CHE-79337" "Sediments" "Sinuous" "Pasture" 3 1881 2 1e-05 105.2096 0 1 0
"CHE-270982" "Sediments" "Sinuous" "Shrubs" 4 346 0 0 42.80392 0.928792569659443 0.0712074303405573 0
"CHE-289745" "Sediments" "Straight" "Agriculture" 4 445 2.00844 0.00513 68.78454 0.667711598746082 0.332288401253919 0
"CHE-81950" "Sediments" "Straight" "HumidAreas" 3 1513 2 3e-04 102.68593 0 1 0
"CHE-321642" "Caly" "Straight" "Agriculture" 4 461 2 0 48.75872 0.565625 0.434375 0
"CHE-357593" "Sediments" "Straight" "Forest_NoConif" 7 453 2 0.02824 48.11922 0.861198738170347 0.1198738170347 0.0189274447949527
"CHE-63177" "Sandstones" "Straight" "Urban" 4 1007 1 0.00256 118.68816 0 1 0
"CHE-321871" "Sediments" "Straight" "Agriculture" 4 472 2 2e-05 50.26535 0.899686520376176 0.100313479623824 0
"CHE-357114" "Siliceous" "Straight" "Forest_NoConif" 3 611 1.286105 0.00038 48.11922 0.105919003115265 0.894080996884735 0
"CHE-319953" "Sediments" "Straight" "Forest_NoConif" 5 401 1.97742 0.00545 52.51984 0.753125 0.2375 0.009375
"CHE-311063" "Sediments" "Straight" "Urban" 4 821 2.536355 0.00263 45.76542 0.0188679245283019 0.981132075471698 0
"CHE-306372" "Sediments" "Sinuous" "Agriculture" 4 675 2 2e-05 62.55567 0.1875 0.8125 0
"CHE-379510" "Sediments" "Straight" "Forest_Plantation" 4 649 2 0.00121 48.67361 0.937694704049844 0 0.0623052959501558
"CHE-284193" "Sediments" "Straight" "Agriculture" 2 579 2 0 54.75839 0.26875 0.73125 0
"CHE-272047" "Sediments" "Sinuous" "HumidAreas" 6 330 2 0.01604 60.78899 0.735849056603774 0.232704402515723 0.0314465408805031
"CHE-323142" "Conglomerates" "Straight" "Agriculture" 3 655 2 1e-05 62.17612 0.329192546583851 0.670807453416149 0
"CHE-357443" "Sandstones" "Sinuous" "Forest_NoConif" 3 849 2.855555 0.00012 50.39609 0.025 0.975 0
"CHE-99821" "Sediments" "Straight" "Pasture" 4 1053 2 0 88.57834 0.161993769470405 0.838006230529595 0
"CHE-270969" "Sediments" "Straight" "HumidAreas" 6 336 1.80543 0.01769 60.28614 0.745341614906832 0.254658385093168 0
"CHE-298589" "Shales" "Sinuous" "HumidAreas" 5 468 3.347825 0.01632 69.11082 0.154088050314465 0.588050314465409 0.257861635220126
"CHE-64559" "Sediments" "Sinuous" "Forest_NoConif" 4 894 2 2e-05 101.05556 0 1 0
